Stock,Date,Open,Close,Volume,Daily Change
AAPL,2023-01-02,250.72,282.25,1149.0,31.53
AAPL,2023-01-04,232.62,108.1,5424.0,-124.52
AAPL,2023-01-10,265.62,262.2,1390.0,-3.42
AAPL,2023-01-20,288.63,265.23,9727.0,-23.4
AAPL,2023-01-23,198.12,182.46,2476.0,-15.66
AAPL,2023-01-25,287.66,247.25,1121.0,-40.41
AAPL,2023-02-05,136.67,104.45,8142.0,-32.22
AAPL,2023-02-09,103.09,171.07,4726.0,67.98
AAPL,2023-02-10,170.11,194.16,7577.0,24.05
AAPL,2023-02-14,196.47,121.1,3875.0,-75.37
AMZN,2023-01-01,211.58,124.81,9183.0,-86.77
AMZN,2023-01-03,259.44,127.29,9221.0,-132.15
AMZN,2023-01-09,128.1,217.81,5227.0,89.71
AMZN,2023-01-15,224.69,169.34,2985.0,-55.35
AMZN,2023-01-16,200.54,245.0,1253.0,44.46
AMZN,2023-01-17,270.23,105.46,9014.0,-164.77
AMZN,2023-01-21,100.02,210.53,4841.0,110.51
AMZN,2023-01-31,243.12,239.31,4141.0,-3.81
AMZN,2023-02-07,167.59,113.68,8315.0,-53.91
AMZN,2023-02-12,291.08,256.16,3139.0,-34.92
AMZN,2023-02-15,197.19,286.02,1446.0,88.83
AMZN,2023-02-17,225.56,210.96,7872.0,-14.6
AMZN,2023-02-19,183.01,155.15,4845.0,-27.86
GOOGL,2023-01-06,116.23,114.38,9130.0,-1.85
GOOGL,2023-01-07,284.11,149.08,7099.0,-135.03
GOOGL,2023-01-29,155.78,207.23,1577.0,51.45
GOOGL,2023-02-02,118.87,290.06,8831.0,171.19
GOOGL,2023-02-03,159.56,280.94,1261.0,121.38
GOOGL,2023-02-04,259.7,106.62,3934.0,-153.08
GOOGL,2023-02-11,207.03,238.64,4022.0,31.61
GOOGL,2023-02-16,133.36,137.67,9589.0,4.31
MSFT,2023-01-05,167.53,202.96,3269.0,35.43
MSFT,2023-01-11,105.8,154.77,7001.0,48.97
MSFT,2023-01-12,257.57,123.69,7341.0,-133.88
MSFT,2023-01-14,260.27,145.85,7615.0,-114.42
MSFT,2023-01-18,226.44,270.42,2929.0,43.98
MSFT,2023-01-19,273.34,218.3,2089.0,-55.04
MSFT,2023-01-22,202.48,273.21,4157.0,70.73
MSFT,2023-01-24,177.84,180.38,1402.0,2.54
MSFT,2023-01-26,232.45,170.67,4352.0,-61.78
MSFT,2023-01-28,283.29,130.33,2425.0,-152.96
MSFT,2023-01-30,218.4,239.25,7131.0,20.85
MSFT,2023-02-06,283.28,221.1,2591.0,-62.18
MSFT,2023-02-13,126.16,231.01,8778.0,104.85
TSLA,2023-01-08,132.58,157.9,3626.0,25.32
TSLA,2023-01-13,250.87,106.93,8497.0,-143.94
TSLA,2023-01-27,200.76,131.93,5480.0,-68.83
TSLA,2023-02-01,130.2,122.83,7842.0,-7.37
TSLA,2023-02-08,232.88,275.09,2006.0,42.21
TSLA,2023-02-18,244.6,296.75,3288.0,52.15
